particle,track_length,n_disp,normal_converged,D_median_um2_s,D_lo_um2_s,D_hi_um2_s,log10_D,log10_D_stderr,sigma_normal_median_um,sigma_normal_lo_um,sigma_normal_hi_um,log10_sigma_normal,log10_sigma_normal_stderr,anomalous_converged,D_alpha_median_um2_s_alpha,D_alpha_lo_um2_s_alpha,D_alpha_hi_um2_s_alpha,log10_D_alpha,log10_D_alpha_stderr,sigma_anom_median_um,sigma_anom_lo_um,sigma_anom_hi_um,log10_sigma_anom,log10_sigma_anom_stderr,alpha,alpha_stderr
74,44,43,true,0.04049127525276813,0.03450941252320763,0.04751003426942831,-1.3926385451254182,0.0694238888053739,0.008807506972151375,0.007602355194391459,0.01020370359986902,-2.055147004352718,0.06390483896207759,true,0.08471181696961406,0.05074498263314796,0.14141480717752342,-1.072056003049111,0.2225508887391966,0.008941822754908199,0.007701045324808624,0.010382511828961483,-2.0485739429815437,0.06487637756237825,1.2242173884907337,0.13449096031284424
75,28,27,true,0.035853196985419736,0.028872186362722853,0.04452214729865312,-1.445472112765435,0.09404821491209178,0.01227742841690589,0.010581912057799844,0.01424461361131257,-1.9108925893269548,0.06454326271637163,true,0.025037125739376807,0.011964324202627533,0.05239390496888222,-1.601415529582073,0.3206962976279806,0.012229489931992304,0.010543227680541339,0.014185449515875578,-1.912591656155918,0.06443475865445167,0.8906920658968037,0.22084129132900648
76,125,124,true,0.038096253525471656,0.03379909367881343,0.04293974703785496,-1.4191177317578902,0.05197721339544394,0.020465491466420002,0.018173390754423733,0.023046681085650327,-1.6889778215737372,0.051586213773642656,true,0.057802411018105106,0.04059005444265389,0.08231372845844125,-1.2380540461811889,0.15352631999035754,0.021692744471292838,0.01914682340309093,0.024577192403667313,-1.663685499468633,0.054217768855631475,1.1444805389973676,0.11038357939342956
78,82,81,true,0.04054377242746746,0.03580686014247937,0.04590733384914016,-1.3920758444883576,0.05395791555476837,0.012405066542782549,0.010746716571456528,0.01431932022284705,-1.9064009017597072,0.06232330307834083,true,0.04557123896185408,0.03065821519594353,0.0677383796560077,-1.3413091639349521,0.17214396777484325,0.012464732822738191,0.010784420447644645,0.014406853395277263,-1.9043170260133206,0.06288616280985274,1.035749845760662,0.11372123803053882
79,200,199,true,0.04661687960020737,0.043403099870682894,0.05006862344244903,-1.3314568002655907,0.031022451589274254,0.0035754354694520455,0.0030809851506457,0.004149237393609835,-2.446671055831416,0.06463933900586989,true,0.07323828266682048,0.057903914335531624,0.09263356561533312,-1.1352618478365848,0.10203022890470385,0.0035990091857912763,0.0030982700601200454,0.0041806772386097655,-2.4438170448910252,0.06506368484002256,1.133232881573524,0.06244778926646243
82,181,180,true,0.04911026031180671,0.044757137200658555,0.05388677245107469,-1.3088277638589965,0.04030993616043826,0.018765977223834333,0.016625678005849204,0.021181806903849108,-1.7266288151108284,0.0525918197444104,true,0.07358063525664843,0.054951375714525276,0.09852546572989297,-1.1332364670177204,0.12678496347030177,0.020044127091838865,0.01761500827642825,0.022808222657006542,-1.6980128522322284,0.0561042961967901,1.1342480340760877,0.08862577813508579
83,200,199,true,0.040102157000334336,0.03733101922926983,0.043079000500970764,-1.396832267076855,0.03109788552014688,0.0036119269952374824,0.0031102917842380576,0.004194467118820883,-2.4422610362892985,0.06493783052298391,true,0.04049999279433663,0.031721467967781164,0.05170786604224263,-1.392545054053976,0.10610166907992412,0.003612701639211316,0.003110731578628072,0.004195673205502447,-2.4421679038608826,0.06496955817410459,1.0029233730176899,0.06869913153739438
85,42,41,true,0.054308716326406326,0.04638058962779869,0.06359204772278913,-1.2651304623325217,0.06853327222554319,0.0044952901785521235,0.003869524403161711,0.00522225257782996,-2.34724226858562,0.06510014153119512,true,0.08074621551485298,0.0519838783442224,0.12542256421881082,-1.0928778234183083,0.19125349894148583,0.004506301139239229,0.003877511514114919,0.005237057293985624,-2.3461797893676444,0.0652671145247528,1.1186947991129512,0.11636695247587531
87,143,142,true,0.04284153242387098,0.039181292151740606,0.046843705238650536,-1.3681350030285988,0.038786242568497754,0.010028258502078388,0.008729393221065432,0.011520384755016601,-1.9987744796022104,0.060241463393416746,true,0.08900352773422789,0.06410647871046508,0.1235698498573796,-1.0505927793646848,0.1425052983548286,0.010453058723449399,0.009051897453133801,0.012071108542889326,-1.980756609807115,0.06250376490471339,1.2197871774510662,0.08745239959174202
88,200,199,true,0.04642285332628414,0.043187837103272175,0.04990019078289077,-1.3332681696582784,0.03137037571850856,0.005492958331281312,0.004742289070728949,0.006362452979812738,-2.260193695455836,0.0638182812629976,true,0.07195275567539504,0.056202983692751195,0.09211608902448402,-1.1429525686252158,0.10728805945516588,0.0055743320134410594,0.004801861268030938,0.006471069375316583,-2.253807167787914,0.06478322363788623,1.1295065328019895,0.06641039188788667
