particle,track_length,n_disp,D_alpha,D_alpha_stderr,sigma,sigma_stderr,alpha,alpha_stderr,true_D_um2_s_alpha,true_alpha
88,200,199,0.038441105710249446,0.003735434594249371,0.0346315354219687,0.00498611012416761,0.6589596741996115,0.030361483692571356,0.05,0.7
380,200,199,0.03905964031237362,0.007410367566985088,0.026594833864904466,0.0010782480135803074,1.7689609106210067,0.04007764763325328,0.05,1.8
405,200,199,0.013559201783099826,0.0026406697199555327,0.025364838802069783,0.0011276512235415554,1.5090488984405086,0.06126941980343048,0.05,1.8
118,200,199,0.050277287879668356,0.004602991457859359,0.03893783537992373,0.0037874022702187975,0.7820579206805328,0.03053804606423066,0.05,0.7
197,200,199,0.03603013476072046,0.0032733158405261684,0.024947497997886675,0.002514650876050007,0.8957322161988766,0.027740273762877243,0.05,1.0
368,200,199,0.029093404827084474,0.005136863181757732,0.025421539394886453,0.001123357765623419,1.6639510203834165,0.04756060136396001,0.05,1.8
230,200,199,0.037540281885836274,0.003399457009947829,0.02056206871842898,0.0024387474073976623,0.8751425382824415,0.024257176418373716,0.05,1.0
378,200,199,0.022454162243854145,0.00410240783499932,0.025732378095884276,0.0010805384486928908,1.6169801832302226,0.051277547699402515,0.05,1.8
226,200,199,0.051546571974546845,0.005617127352141104,0.028353122109338935,0.0026747140812176974,1.0155639752662224,0.03164539004652034,0.05,1.0
232,200,199,0.04988688044779769,0.004857229552288886,0.025628671721887326,0.0023915358892366047,1.068286400348668,0.028907725121600114,0.05,1.0
164,200,199,0.06088840799410615,0.006051400081025237,0.02952094961003094,0.0025682892856677252,1.0310529107034274,0.031256772048442905,0.05,0.9
211,200,199,0.07377914739407451,0.00686954337358734,0.02849969926422441,0.0023142728221999115,1.1518194406357312,0.03433916771506973,0.05,1.0
395,200,199,0.021867288391136525,0.004129161729061592,0.025269103589374873,0.0010489522959184275,1.7295393156476022,0.04518128788825404,0.05,1.8
271,200,199,0.08801563104202377,0.011438773592659483,0.028771305314336627,0.0015261361059493612,1.5203088319403122,0.03684249218946156,0.05,1.2
12,200,199,0.08939425118972072,0.0124149693897853,0.07930341715811709,0.00494229246602948,0.9090842142368569,0.05752804066907091,0.05,0.5
357,200,199,0.027461150618096116,0.0035049634603468577,0.023552457320468397,0.0014075435320311074,1.3238480118669276,0.038287891025669984,0.05,1.5
310,200,199,0.01877840601253542,0.0030106285145778938,0.028628159741081724,0.0014257435901496255,1.30010213630766,0.05287965315986487,0.05,1.5
344,200,199,0.10913239385442511,0.017235313139729355,0.02679938646139534,0.0013129671215339478,1.7228500683171875,0.027871749738936358,0.05,1.5
293,200,199,0.07442422662666236,0.009004290537227858,0.025983342727955917,0.00182782187044867,1.2944630310967127,0.0299314238402707,0.05,1.2
281,200,199,0.13834902505940314,0.018603033517601397,0.028454221052834357,0.0018700780534225466,1.482951123630963,0.03273917476956434,0.05,1.2
112,200,199,0.07537302908527378,0.0065539064762197355,0.029296274915260205,0.0036809139807649424,0.8561371311648504,0.022803543299691587,0.05,0.7
35,200,199,0.04350012290753988,0.004785233736597956,0.062466869690917796,0.005686979733595502,0.5895191912792143,0.03738984466841766,0.05,0.5
56,200,199,0.03781691668124737,0.0038154510398024644,0.06401634818423647,0.005420573398738832,0.4967677656601104,0.031638457941527115,0.05,0.5
9,200,199,0.07340369893530692,0.007328762422009853,0.06355165677774108,0.005175642990662439,0.7630580115150445,0.03826581189028799,0.05,0.5
185,200,199,0.059984603672151714,0.006183507696332077,0.025297293865076266,0.0019341704707201927,1.0912782116235398,0.02959083485522096,0.05,1.0
264,200,199,0.06898204990744963,0.008020910350007598,0.0267152035847286,0.0018277192521319527,1.3347128148198422,0.03430542611172582,0.05,1.2
342,200,199,0.06364869188161708,0.009355940943189475,0.0250656073321432,0.0013610312564763388,1.5651230291642937,0.0390717720208944,0.05,1.5
167,200,199,0.038861871074453526,0.003632672423413419,0.029455322552001315,0.0029517025668111888,0.8953810396663684,0.032790749961057575,0.05,0.9
2,200,199,0.050101229725619915,0.004689361545907631,0.056775947374452115,0.006307311503935164,0.6010818907000524,0.03205471368279372,0.05,0.5
413,200,199,0.03328005498319714,0.006154557103349029,0.024100421757540753,0.0011770052052657732,1.740125064484892,0.03486576083445869,0.05,1.8
296,200,199,0.04671619218142063,0.00417342044759492,0.019845420884568022,0.002152880719214642,1.1356320194724643,0.027361238481923844,0.05,1.2
138,200,199,0.05002168066758184,0.00453909771309792,0.03072799076353167,0.0026937350619789524,0.9604321640609543,0.02943765548072902,0.05,0.9
338,200,199,0.10445569693284544,0.0174317559229659,0.02565902414887956,0.0012235210644120451,1.7144933274830831,0.03281660009710574,0.05,1.5
311,200,199,0.11596447577355863,0.019517571909975835,0.02616304908067605,0.0012226260709647784,1.7619812110761381,0.031013267758819962,0.05,1.5
198,200,199,0.042881942886743706,0.005556282697420506,0.03435119810593244,0.0020211311498055835,1.115889272824152,0.04139563864555196,0.05,1.0
292,200,199,0.08339500855133221,0.009358735387062028,0.026564680782314883,0.0018916481697740656,1.3333740723076217,0.030933528130933308,0.05,1.2
242,200,199,0.043553959614276216,0.005007107439070832,0.025076696112966812,0.0018294217246262977,1.1662882524235068,0.03553869661314413,0.05,1.2
288,200,199,0.06704905627564693,0.008065545882074598,0.02940992636646773,0.0018439906205918594,1.278225192610503,0.04388304968310286,0.05,1.2
387,200,199,0.060328560719012825,0.013128069913138942,0.02610081330029752,0.0010913615502348498,1.8738412950325671,0.025655004129514603,0.05,1.8
119,200,199,0.07737922145869633,0.007757078880274347,0.04622779636583246,0.004097696104505964,0.9190476015280873,0.034491541960699035,0.05,0.7
136,200,199,0.040547073385355945,0.0036437990276762325,0.029374344567186524,0.0028423747920013342,0.9022108130494513,0.031060084265123855,0.05,0.9
73,200,199,0.06725678797892043,0.005245897141630856,0.033304772957974564,0.0040048377790452856,0.804312110324094,0.02990020770127516,0.05,0.7
61,200,199,0.05471104920921867,0.00521167531607554,0.039368473780532695,0.003916833933258111,0.777038155450548,0.032474888978454464,0.05,0.7
289,200,199,0.06485982603573473,0.007211211364391516,0.025957372977331784,0.0015755434235655008,1.3739277252510087,0.033433523461002035,0.05,1.2
417,200,199,0.0532912080846408,0.008993646514482201,0.02369219960390879,0.0011395945422620467,1.7689590265889226,0.0298273496343493,0.05,1.8
257,200,199,0.04819776205565729,0.004252953616926566,0.0215277662078881,0.0018402921354219361,1.1281906940028834,0.026503480283192604,0.05,1.2
