particle,track_length,n_disp,log_bf10,D_mean_median_um2_s,D_mean_lo_um2_s,D_mean_hi_um2_s,eps_median,eps_lo,eps_hi,psi_median_rad,psi_lo_rad,psi_hi_rad,D_par_median_um2_s,D_par_lo_um2_s,D_par_hi_um2_s,D_perp_median_um2_s,D_perp_lo_um2_s,D_perp_hi_um2_s,x_mean_um,y_mean_um
619,5,4,0.15186696506258812,0.1903424646695852,0.048462848697463784,0.453714163703128,0.23701890228292577,0.000045707135326182356,0.6062646384735269,1.8701412226756409,0.6995093913446773,3.1265275003271746,0.2389487180732106,0.061680228776448166,0.5814863750595057,0.13508760601066336,0.005280879714458537,0.3307853664878164,26.3444046983703,51.6661842613738
626,7,6,0.055022243553107586,0.03228229829498185,0.008525344046680724,0.06707341006947658,0.23248793993117153,0.000022518818408261432,0.5604479827731262,1.0851791843931953,0.004820965857206905,2.5346522229506303,0.03995366605138355,0.011266618284437256,0.08662735405969976,0.023412743602308585,0.004826668952417557,0.0537624572878398,42.7111982779411,4.8209997918302765
661,5,4,0.08200859116758963,0.05255460280279067,0.012081962214116214,0.1282489634456931,0.2274915598263248,0.00008235046371149331,0.5878729988513127,1.8825472274874442,0.5717761255736142,3.1376303967343007,0.06654233279327104,0.01366997913903397,0.16161971600886177,0.037524510446411585,0.0031555499728919824,0.09568642298656027,33.87395294085953,41.112498797187826
684,10,9,-0.029050756623011154,0.05002613465279941,2.1626962766215767e-8,0.1130834897671496,0.20012367285576407,0.0000648482922759729,0.5059387249515899,1.8084442652069257,0.4855055860290655,3.1214996901623744,0.061875766231202736,2.7056321850626263e-8,0.14209740755895217,0.03659444337460689,8.128131762645492e-9,0.08764367851398093,45.8003566000664,43.36263112349006
739,7,6,-0.0037543832332573857,0.054084419959720936,1.1504319226622825e-8,0.12580550077925443,0.20518547135985965,0.00008090365220376396,0.5292398591988542,1.9948380101365017,0.3919683845749613,3.11139754216869,0.06690230396890381,1.1680113810395233e-8,0.16585324366389084,0.03895960333544756,1.1328524642850418e-8,0.0956557908473384,11.296148655892349,34.57029396376003
751,6,5,0.10217994541692832,0.0767440749100943,2.2199587444610585e-7,0.17593697432091576,0.23233341081163772,0.001632778960796045,0.5858988104930987,1.6194114908015125,0.42640191178450915,2.8891363754349944,0.09601309263098372,2.5143196106836105e-7,0.22808056755218836,0.05267254483370251,1.045132307387346e-7,0.1338345702334624,21.030940365618765,33.966527954506915
765,9,8,0.02579152346541136,0.06312428670477345,0.027131141356408688,0.11419583824024364,0.20300965111323754,0.00015976186433700864,0.5123857278818935,1.2283055999134314,0.0005021122103630125,2.4577585413006795,0.07716408299689051,0.029328917913438498,0.14302837481070338,0.04753605816874099,0.015166296229636724,0.09104963304366416,22.62913867632945,21.336595873326665
782,5,4,-0.03405530954536218,0.010663513023983376,1.002048898698368e-9,0.03982401908561135,0.20198262383210774,0.0008290752952577726,0.5148726452176595,1.45569568340642,0.11932715090033008,2.962113601505864,0.012846434987443207,1.197565418973107e-9,0.04967854113818638,0.0076927362914929135,8.065323784236288e-10,0.030664560966512384,23.609686422397136,10.907091397416023
794,9,8,-0.13221289098330047,0.06063703435599544,0.018480557082416815,0.1129452876781332,0.18213761731462802,4.496553739896315e-6,0.4526427525950154,1.464143148076991,0.03424734363240332,2.6898927612527244,0.07178325252387872,0.01998303563225281,0.1413517167429732,0.047281434653192,0.011964120723921771,0.09054791940394535,5.888902027906561,38.72392235100065
800,9,8,0.008044152850253283,0.02349140772160135,0.007701853954619149,0.04619895959009386,0.2095488609821885,0.0007139253665844477,0.5224896433773427,1.468834458483854,0.003689544533730823,2.967914446488526,0.028628578081273587,0.007510740710741764,0.05631115671562121,0.01713596470897015,0.003410676145848634,0.034848607608541395,42.912866621344705,42.6273926324466
