track_id,t,x,y
7838,22,515.3626098632812,837.7385864257812
7839,22,458.2247009277344,839.931396484375
7840,22,831.0100708007812,845.9053344726562
7841,22,932.3857421875,846.6190795898438
7842,22,392.5895080566406,863.5877685546875
7843,22,1006.2847290039062,864.3890991210938
7844,22,985.3670043945312,887.93994140625
7845,22,713.3624267578125,896.8920288085938
7846,22,550.6919555664062,900.3064575195312
7847,22,826.7791748046875,900.6795654296875
7848,22,986.22412109375,914.1593017578125
7849,22,880.921142578125,920.712158203125
7850,22,949.244140625,934.0380859375
7851,22,846.70166015625,940.1744995117188
7852,22,1028.3150634765625,947.766357421875
7853,22,964.8194580078125,949.0372924804688
7854,22,441.7790832519531,969.85498046875
7855,22,475.8673095703125,988.0352783203125
7856,22,880.2945556640625,1000.9820556640625
7857,22,830.7195434570312,1009.7654418945312
7858,22,446.9710388183594,1013.8961181640625
7859,22,460.5992736816406,1015.0350341796875
7860,22,1023.7919921875,1017.7257690429688
7861,22,556.3855590820312,1018.71533203125
7862,22,901.3359375,1025.610107421875
7863,22,475.483642578125,1032.4324951171875
7864,22,826.34375,1039.583984375
7865,22,1010.3123779296875,1039.9034423828125
7866,22,591.6087646484375,1046.170654296875
7867,22,1050.725341796875,1052.5672607421875
7868,22,539.1038818359375,1053.650634765625
7869,22,579.240966796875,1068.11572265625
7870,22,605.4868774414062,1127.5416259765625
7871,22,978.6454467773438,1137.821533203125
7872,22,599.9862670898438,1146.9537353515625
7873,22,984.1676025390625,1148.222412109375
7874,22,570.7007446289062,1152.8699951171875
7875,22,1050.9410400390625,1168.339111328125
7876,22,839.7640380859375,1171.763671875
7877,22,834.8087768554688,1180.96484375
7878,22,1021.5873413085938,1218.218994140625
7879,22,1001.4877319335938,1269.5892333984375
7880,22,859.7359619140625,1271.773193359375
7881,22,904.1234130859375,1276.83740234375
7882,22,916.7509155273438,1279.70263671875
7883,22,995.9449462890625,1292.7586669921875
7884,22,965.5879516601562,1311.6754150390625
7885,22,657.0625610351562,1324.236083984375
7886,22,840.59765625,1333.75390625
7887,22,893.8607177734375,1489.9852294921875
7888,23,228.9702606201172,9.698443412780762
7889,23,464.2442626953125,17.406105041503906
7890,23,232.44244384765625,21.386085510253906
7891,23,180.02516174316406,26.222196578979492
7892,23,337.7137756347656,37.04417037963867
7893,23,217.087646484375,61.18367004394531
7894,23,14.4588041305542,80.16613006591797
7895,23,297.9810791015625,111.17738342285156
7896,23,529.232177734375,117.40841674804688
7897,23,311.3935241699219,129.82827758789062
7898,23,547.9004516601562,135.2549285888672
7899,23,153.0877685546875,139.52340698242188
7900,23,253.03732299804688,140.36026000976562
7901,23,514.5738525390625,167.08157348632812
7902,23,143.63719177246094,178.4221649169922
7903,23,621.4034423828125,177.8998565673828
7904,23,738.2825317382812,193.5868682861328
7905,23,429.0728759765625,210.1791229248047
7906,23,182.32484436035156,212.5930938720703
7907,23,518.5614013671875,287.9031677246094
7908,23,80.12672424316406,292.7830505371094
7909,23,240.90577697753906,314.4891357421875
7910,23,594.326904296875,346.1971435546875
7911,23,257.5058898925781,350.1434020996094
7912,23,334.88037109375,352.5397033691406
7913,23,495.7159118652344,353.6526184082031
7914,23,457.2904357910156,367.9583435058594
7915,23,54.240882873535156,373.9645690917969
7916,23,381.39923095703125,401.9277648925781
7917,23,446.0323181152344,408.8905334472656
7918,23,373.0671691894531,410.63897705078125
7919,23,816.5718994140625,426.1371154785156
7920,23,846.2084350585938,428.3170166015625
7921,23,766.7744140625,432.09228515625
7922,23,671.7201538085938,438.1065673828125
7923,23,199.28038024902344,452.3772888183594
7924,23,118.16302490234375,454.07073974609375
7925,23,181.3924560546875,454.3075866699219
7926,23,361.2857360839844,455.5605163574219
7927,23,242.69903564453125,461.8520812988281
7928,23,669.0393676757812,466.9626770019531
7929,23,513.82470703125,469.77703857421875
7930,23,708.9464721679688,481.1569519042969
7931,23,596.782958984375,481.9449768066406
7932,23,551.5453491210938,493.9332275390625
7933,23,652.3514404296875,502.862060546875
7934,23,445.7042236328125,507.9591064453125
7935,23,305.4317932128906,512.1527099609375
7936,23,380.24169921875,511.5773620605469
7937,23,517.5457153320312,518.0411376953125
7938,23,725.7266235351562,517.1754150390625
7939,23,306.72955322265625,527.3773193359375
7940,23,728.1262817382812,531.4484252929688
7941,23,484.7334899902344,537.4188842773438
7942,23,468.3066711425781,543.1925048828125
7943,23,213.4140625,558.5594482421875
7944,23,803.4978637695312,566.590087890625
7945,23,839.029296875,569.7440185546875
7946,23,263.9299011230469,575.0736694335938
7947,23,205.18316650390625,581.038330078125
7948,23,630.3265380859375,586.4249877929688
7949,23,562.5718994140625,593.7921142578125
7950,23,328.3564453125,595.037841796875
7951,23,304.1253967285156,596.3702392578125
7952,23,512.4086303710938,600.85107421875
7953,23,885.38671875,603.6763916015625
7954,23,231.37191772460938,614.8021850585938
7955,23,783.6249389648438,620.9028930664062
7956,23,460.3888854980469,622.82421875
7957,23,590.6647338867188,629.1656494140625
7958,23,272.04339599609375,633.375
7959,23,680.0358276367188,634.2809448242188
7960,23,862.3809814453125,634.1463623046875
7961,23,229.17391967773438,643.62060546875
7962,23,871.77587890625,645.2904663085938
7963,23,262.37982177734375,648.6519165039062
7964,23,470.817138671875,649.8607788085938
7965,23,816.5343017578125,656.1527099609375
7966,23,710.5877685546875,656.89599609375
7967,23,290.1075134277344,658.076416015625
7968,23,703.3158569335938,658.2969360351562
7969,23,868.3877563476562,661.3814697265625
7970,23,270.0996398925781,671.199951171875
7971,23,532.9021606445312,678.3451538085938
7972,23,816.9149780273438,679.427978515625
7973,23,526.6434326171875,691.1799926757812
7974,23,344.76971435546875,694.8221435546875
7975,23,827.0827026367188,695.9219360351562
7976,23,242.8706512451172,698.421875
7977,23,297.2889709472656,703.2410278320312
7978,23,358.77734375,705.5340576171875
7979,23,654.4935913085938,711.5804443359375
7980,23,646.8623046875,712.2357177734375
7981,23,937.0302124023438,711.69482421875
7982,23,659.5523681640625,717.9710083007812
7983,23,657.0955200195312,725.4254760742188
7984,23,310.48370361328125,729.7594604492188
